run_name,run_date,batch_id,True Batch,System,sensor_print_date,batch,analyte,run_num,frame,img_type,spot_type,sensor_num,Well,33.39 G Diff Perc Val,33.39 R Diff Perc Val,33.52 G Diff Perc Val,33.52 R Diff Perc Val,51.12 G Diff Perc Val,51.12 R Diff Perc Val,70.13 G Diff Perc Val,70.13 R Diff Perc Val,51.9 LD G Diff Perc Val,51.9 LD R Diff Perc Val,91.19 G Diff Perc Val,91.19 R Diff Perc Val,91.1 G Diff Perc Val,91.1 R Diff Perc Val,51.9 G Diff Perc Val,51.9 R Diff Perc Val,33.39 G Well Performance Specification,33.39 R Well Performance Specification,33.52 G Well Performance Specification,33.52 R Well Performance Specification,51.12 G Well Performance Specification,51.12 R Well Performance Specification,70.13 G Well Performance Specification,70.13 R Well Performance Specification,51.9 LD G Well Performance Specification,51.9 LD R Well Performance Specification,91.19 G Well Performance Specification,91.19 R Well Performance Specification,91.1 G Well Performance Specification,91.1 R Well Performance Specification,51.9 G Well Performance Specification,51.9 R Well Performance Specification,33.39 G Well Performance Result,33.39 R Well Performance Result,33.52 G Well Performance Result,33.52 R Well Performance Result,51.12 G Well Performance Result,51.12 R Well Performance Result,70.13 G Well Performance Result,70.13 R Well Performance Result,51.9 LD G Well Performance Result,51.9 LD R Well Performance Result,91.19 G Well Performance Result,91.19 R Well Performance Result,91.1 G Well Performance Result,91.1 R Well Performance Result,51.9 G Well Performance Result,51.9 R Well Performance Result,33.39 G Well Pass Rate,33.39 R Well Pass Rate,33.52 G Well Pass Rate,33.52 R Well Pass Rate,51.12 G Well Pass Rate,51.12 R Well Pass Rate,70.13 G Well Pass Rate,70.13 R Well Pass Rate,51.9 LD G Well Pass Rate,51.9 LD R Well Pass Rate,91.19 G Well Pass Rate,91.19 R Well Pass Rate,91.1 G Well Pass Rate,91.1 R Well Pass Rate,51.9 G Well Pass Rate,51.9 R Well Pass Rate,Sensor Performance Logical Operator,Sensor Performance Specification Value,33.39 G Sensor Performance Result,33.39 R Sensor Performance Result,33.52 G Sensor Performance Result,33.52 R Sensor Performance Result,51.12 G Sensor Performance Result,51.12 R Sensor Performance Result,70.13 G Sensor Performance Result,70.13 R Sensor Performance Result,51.9 LD G Sensor Performance Result,51.9 LD R Sensor Performance Result,91.19 G Sensor Performance Result,91.19 R Sensor Performance Result,91.1 G Sensor Performance Result,91.1 R Sensor Performance Result,51.9 G Sensor Performance Result,51.9 R Sensor Performance Result,33.39 G Sensor Pass Rate,33.39 R Sensor Pass Rate,33.52 G Sensor Pass Rate,33.52 R Sensor Pass Rate,51.12 G Sensor Pass Rate,51.12 R Sensor Pass Rate,70.13 G Sensor Pass Rate,70.13 R Sensor Pass Rate,51.9 LD G Sensor Pass Rate,51.9 LD R Sensor Pass Rate,91.19 G Sensor Pass Rate,91.19 R Sensor Pass Rate,91.1 G Sensor Pass Rate,91.1 R Sensor Pass Rate,51.9 G Sensor Pass Rate,51.9 R Sensor Pass Rate,Batch Performance Logical Operator,Batch Performance Specification Value,33.39 G Batch Performance Result,33.39 R Batch Performance Result,33.52 G Batch Performance Result,33.52 R Batch Performance Result,51.12 G Batch Performance Result,51.12 R Batch Performance Result,70.13 G Batch Performance Result,70.13 R Batch Performance Result,51.9 LD G Batch Performance Result,51.9 LD R Batch Performance Result,91.19 G Batch Performance Result,91.19 R Batch Performance Result,91.1 G Batch Performance Result,91.1 R Batch Performance Result,51.9 G Batch Performance Result,51.9 R Batch Performance Result,33.39 G Corrected Val,33.39 R Corrected Val,33.52 G Corrected Val,33.52 R Corrected Val,51.12 G Corrected Val,51.12 R Corrected Val,70.13 G Corrected Val,70.13 R Corrected Val,51.9 LD G Corrected Val,51.9 LD R Corrected Val,91.19 G Corrected Val,91.19 R Corrected Val,91.1 G Corrected Val,91.1 R Corrected Val,51.9 G Corrected Val,51.9 R Corrected Val,33.39 G Sensor CV,33.39 R Sensor CV,33.52 G Sensor CV,33.52 R Sensor CV,51.12 G Sensor CV,51.12 R Sensor CV,70.13 G Sensor CV,70.13 R Sensor CV,51.9 LD G Sensor CV,51.9 LD R Sensor CV,91.19 G Sensor CV,91.19 R Sensor CV,91.1 G Sensor CV,91.1 R Sensor CV,51.9 G Sensor CV,51.9 R Sensor CV,Sensor Uniformity CV Logical Operator,Sensor Uniformity CV Specification Value,33.39 G Sensor Uniformity Result,33.39 R Sensor Uniformity Result,33.52 G Sensor Uniformity Result,33.52 R Sensor Uniformity Result,51.12 G Sensor Uniformity Result,51.12 R Sensor Uniformity Result,70.13 G Sensor Uniformity Result,70.13 R Sensor Uniformity Result,51.9 LD G Sensor Uniformity Result,51.9 LD R Sensor Uniformity Result,91.19 G Sensor Uniformity Result,91.19 R Sensor Uniformity Result,91.1 G Sensor Uniformity Result,91.1 R Sensor Uniformity Result,51.9 G Sensor Uniformity Result,51.9 R Sensor Uniformity Result,33.39 G Batch Uniformity Pass Rate,33.39 R Batch Uniformity Pass Rate,33.52 G Batch Uniformity Pass Rate,33.52 R Batch Uniformity Pass Rate,51.12 G Batch Uniformity Pass Rate,51.12 R Batch Uniformity Pass Rate,70.13 G Batch Uniformity Pass Rate,70.13 R Batch Uniformity Pass Rate,51.9 LD G Batch Uniformity Pass Rate,51.9 LD R Batch Uniformity Pass Rate,91.19 G Batch Uniformity Pass Rate,91.19 R Batch Uniformity Pass Rate,91.1 G Batch Uniformity Pass Rate,91.1 R Batch Uniformity Pass Rate,51.9 G Batch Uniformity Pass Rate,51.9 R Batch Uniformity Pass Rate,Batch Uniformity Logical Operator,Batch Uniformity Specification Value,Batch Uniformity Result,Batch Disposition,51.9 G Diff Perc Sensor Mean,51.9 R Diff Perc Sensor Mean,51.9 LD G Diff Perc Sensor Mean,51.9 LD R Diff Perc Sensor Mean,33.39 G Diff Perc Sensor Mean,33.39 R Diff Perc Sensor Mean,51.9 G Diff Perc Center 4 mean,51.9 R Diff Perc Center 4 mean,51.9 LD G Diff Perc Center 4 mean,51.9 LD R Diff Perc Center 4 mean,33.39 G Diff Perc Center 4 mean,33.39 R Diff Perc Center 4 mean,Batch Center 4 Mean 51.9 G,Batch Center 4 Mean 51.9 R,Batch Center 4 Mean 51.9 LD G,Batch Center 4 Mean 51.9 LD R,Batch Center 4 Mean 33.39 G,Batch Center 4 Mean 33.39 R
20260210_20260203J_NH3_1,20260210,20260203J,20260203A,Colosseum,20260203,J,NH3,1,Frame-1,incubation,well_spot,NH3_1,A1,-25.99231754161332,-23.53381582231096,-15.973154362416109,-15.21402784940691,-1.735357917570499,-0.8938547486033519,-8.253557567917206,-9.390735146022156,,,-1.7248295226634576,-0.8205998868138087,-1.426872770511296,-0.446677833612507,-0.553290623179965,-0.3475006682705159,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,60.0%,60.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3304.933541189749,3387.797354736779,3152.593454784076,3278.7317548463266,2731.119215728379,3026.7817644017146,3271.080188655155,3358.205912906036,,,2109.910196718577,2987.8901551384524,2135.300211119523,3028.4727039349,2906.310315094904,3162.902396823132,0.2709%,0.2191%,0.4318%,0.4746%,,,0.3448%,0.1946%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2835,-23.6516,,,,,-26.1762,-23.2257,10.8841,7.5017,11.4412,8.0027,-26.9337,-24.0007
20260210_20260203J_NH3_1,20260210,20260203J,20260203A,Colosseum,20260203,J,NH3,1,Frame-1,incubation,well_spot,NH3_1,A2,-26.490066225165563,-23.96817503729488,-16.134185303514375,-15.545896190232678,-1.462352209085252,-0.7256488975718672,-8.522142121524203,-9.67741935483871,,,-1.6572352465642683,-0.8493771234428085,-1.1075949367088609,-0.4738015607580825,-0.5813953488372093,-0.3998933617701946,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,60.0%,60.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3307.4957888281765,3382.3504173753117,3164.277682842239,3289.0036007843964,2707.664662581192,3013.167962569801,3272.11249205518,3363.0082842078245,,,2084.244671818876,2970.278884676678,2129.7374819555857,3017.3727741279504,2898.060497597791,3154.4496309236183,0.2709%,0.2191%,0.4318%,0.4746%,,,0.3448%,0.1946%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2835,-23.6516,,,,,-26.1762,-23.2257,10.8841,7.5017,11.4412,8.0027,-26.9337,-24.0007
20260210_20260203J_NH3_1,20260210,20260203J,20260203A,Colosseum,20260203,J,NH3,1,Frame-1,incubation,well_spot,NH3_1,A3,-26.30241423125794,-23.752792256142964,-16.688741721854306,-16.22239146991622,-1.5552099533437014,-0.7250418293363079,-8.549422336328627,-9.39680957128614,,,-1.3322567622123538,-0.7633587786259541,-0.9152407481098288,-0.4458066313736417,-0.5234079674323932,-0.2930207778369739,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,60.0%,60.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3304.991479863585,3377.946380121469,3170.608090593401,3302.4896478775045,2700.2662281477574,3006.5315758539555,3271.395632546039,3363.69344180872,,,2080.422845139034,2965.4495771877973,2110.659107724826,3009.046800262088,2888.402973126015,3147.384142709356,0.2709%,0.2191%,0.4318%,0.4746%,,,0.3448%,0.1946%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2835,-23.6516,,,,,-26.1762,-23.2257,10.8841,7.5017,11.4412,8.0027,-26.9337,-24.0007
20260210_20260203J_NH3_1,20260210,20260203J,20260203A,Colosseum,20260203,J,NH3,1,Frame-1,incubation,well_spot,NH3_1,A4,-27.062706270627064,-24.47466007416564,-17.001586462189316,-16.64561758019702,-1.3370646766169154,-0.6121313299944352,-8.683401639344263,-9.711872826626925,,,-1.3888888888888888,-0.7338413773638159,-1.0437575270975512,-0.3337969401947149,-0.4949053857350801,-0.1860217911241031,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,60.0%,60.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3299.1495824940635,3384.5079455893115,3167.65263289986,3312.550545510033,2693.593566209928,3007.149952150305,3269.834975896629,3368.6103804555173,,,2050.3473414433784,2964.477540475385,2086.362429548797,3007.986666104716,2877.019247491015,3148.554610445631,0.2709%,0.2191%,0.4318%,0.4746%,,,0.3448%,0.1946%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2835,-23.6516,,,,,-26.1762,-23.2257,10.8841,7.5017,11.4412,8.0027,-26.9337,-24.0007
20260210_20260203J_NH3_1,20260210,20260203J,20260203A,Colosseum,20260203,J,NH3,1,Frame-1,incubation,well_spot,NH3_1,A5,-27.328089317432124,-24.504950495049503,-17.01058201058201,-16.632962588473205,-1.6500622665006226,-0.7516703786191536,-8.855899667263884,-9.542743538767397,,,-1.066010660106601,-0.6499011020062164,-1.3215859030837005,-0.305980528511822,-0.3792298716452742,-0.1064395955295369,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,60.0%,60.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3300.82470287106,3376.0605963321227,3165.9775125228634,3305.8652770024446,2690.243325455936,3001.685559907174,3272.347656462124,3362.6900593169457,,,2042.8092997468952,2957.395656044401,2091.3877906797857,3004.19253559752,2871.156326171528,3140.404881439633,0.2709%,0.2191%,0.4318%,0.4746%,,,0.3448%,0.1946%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2835,-23.6516,,,,,-26.1762,-23.2257,10.8841,7.5017,11.4412,8.0027,-26.9337,-24.0007
20260210_20260203J_NH3_1,20260210,20260203J,20260203A,Colosseum,20260203,J,NH3,1,Frame-1,incubation,well_spot,NH3_1,A6,-26.37865311308768,-23.70646766169154,-15.707084107190235,-15.46077684691546,-1.3854679802955665,-0.5577244841048522,-8.721227621483376,-9.070464767616192,,,-1.0761259465922677,-0.7080147267063155,-1.0954616588419406,-0.1949860724233983,-0.4648460197559558,-0.2671653753673523,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,60.0%,60.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3310.867766467356,3379.810455063536,3171.1971059251496,3311.709796640614,2732.833165307744,3014.925445735781,3289.833028433891,3364.6769754139978,,,2111.046309038525,2968.684257917748,2150.5916165414387,3018.2884412134563,2896.0627324474303,3146.923018234532,0.2709%,0.2191%,0.4318%,0.4746%,,,0.3448%,0.1946%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2835,-23.6516,,,,,-26.1762,-23.2257,10.8841,7.5017,11.4412,8.0027,-26.9337,-24.0007
20260210_20260203J_NH3_1,20260210,20260203J,20260203A,Colosseum,20260203,J,NH3,1,Frame-1,incubation,well_spot,NH3_1,A7,-26.37865311308768,-23.648143533516077,-15.761589403973511,-15.501905972045742,-1.4810243751928418,-0.7238307349665924,-8.538461538461538,-8.933933933933934,,,-1.2429831595829992,-0.594900849858357,-0.6638032018742679,-0.4735376044568245,-0.4647110078419982,-0.2401921537229783,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,60.0%,60.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3304.153712695052,3373.0691040679426,3169.8043876553547,3307.5073322968738,2721.413515335365,3019.203643611276,3274.764797842618,3358.779999963992,,,2094.17010405628,2967.090440408632,2150.4288839166525,3017.522572540223,2891.029538197983,3149.486651617887,0.2709%,0.2191%,0.4318%,0.4746%,,,0.3448%,0.1946%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2835,-23.6516,,,,,-26.1762,-23.2257,10.8841,7.5017,11.4412,8.0027,-26.9337,-24.0007
20260210_20260203J_NH3_1,20260210,20260203J,20260203A,Colosseum,20260203,J,NH3,1,Frame-1,incubation,well_spot,NH3_1,A8,-27.6552598225602,-25.01854140914709,-16.74160275059508,-16.603487490523122,-1.2123096052222568,-0.6975446428571429,-8.895705521472392,-10.054617676266137,,,-0.5325686194182712,-0.7074136955291455,-0.1602564102564102,-0.3625209146681539,-0.4370629370629371,-0.1071811361200428,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,60.0%,60.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3289.205110001782,3376.8313902691743,3152.467559167741,3303.3675676872986,2682.223786787258,2991.98113788003,3261.6908467242006,3362.639515452221,,,2035.221716987161,2950.2403295948734,2081.078822449797,2993.6507702114363,2861.4833808684707,3115.5339304040936,0.2709%,0.2191%,0.4318%,0.4746%,,,0.3448%,0.1946%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2835,-23.6516,,,,,-26.1762,-23.2257,10.8841,7.5017,11.4412,8.0027,-26.9337,-24.0007
20260210_20260203J_NH3_1,20260210,20260203J,20260203A,Colosseum,20260203,J,NH3,1,Frame-1,incubation,well_spot,NH3_1,A9,-27.44848639023149,-25.14187021959043,-17.276099629040807,-16.67934093789607,-1.2780548628428927,-0.7546115148127445,-8.536898945744408,-10.185873605947956,,,-0.8950366151342555,-0.5957446808510638,-1.2091898428053205,-0.3902982994145526,-0.5253940455341506,-0.2679528403001072,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,60.0%,60.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3280.8355239102893,3386.069952320848,3149.802408353455,3295.8415894166656,2677.415507683594,2989.232245103379,3245.782078984257,3371.031891836817,,,2051.4611340044494,2944.953511455956,2070.65706813061,2996.751275345394,2859.359578966332,3117.891207022305,0.2709%,0.2191%,0.4318%,0.4746%,,,0.3448%,0.1946%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2835,-23.6516,,,,,-26.1762,-23.2257,10.8841,7.5017,11.4412,8.0027,-26.9337,-24.0007
20260210_20260203J_NH3_1,20260210,20260203J,20260203A,Colosseum,20260203,J,NH3,1,Frame-1,incubation,well_spot,NH3_1,A10,-26.161306789178152,-24.3009156149468,-16.29944252720998,-15.629780724120346,-1.5451174289245984,-0.8891358710752986,-8.008266597778352,-10.096990798308878,,,-1.7663588920112403,-0.7898448519040903,-1.222879684418146,-0.3894297635605007,-0.6081668114682884,-0.2660989888238425,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,60.0%,60.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3291.5478157008133,3390.5817513693114,3164.6913276531304,3290.735369678406,2718.593346505317,3019.7237622316634,3252.062683659481,3373.800846883445,,,2092.7119981905885,2974.415320119824,2129.6768026548143,3016.3675813344903,2900.8970412493386,3153.131952894302,0.2709%,0.2191%,0.4318%,0.4746%,,,0.3448%,0.1946%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2835,-23.6516,,,,,-26.1762,-23.2257,10.8841,7.5017,11.4412,8.0027,-26.9337,-24.0007
