run_name,run_date,batch_id,True Batch,System,sensor_print_date,batch,analyte,run_num,frame,img_type,spot_type,sensor_num,Well,33.39 G Diff Perc Val,33.39 R Diff Perc Val,33.52 G Diff Perc Val,33.52 R Diff Perc Val,51.12 G Diff Perc Val,51.12 R Diff Perc Val,70.13 G Diff Perc Val,70.13 R Diff Perc Val,51.9 LD G Diff Perc Val,51.9 LD R Diff Perc Val,91.19 G Diff Perc Val,91.19 R Diff Perc Val,91.1 G Diff Perc Val,91.1 R Diff Perc Val,51.9 G Diff Perc Val,51.9 R Diff Perc Val,33.39 G Well Performance Specification,33.39 R Well Performance Specification,33.52 G Well Performance Specification,33.52 R Well Performance Specification,51.12 G Well Performance Specification,51.12 R Well Performance Specification,70.13 G Well Performance Specification,70.13 R Well Performance Specification,51.9 LD G Well Performance Specification,51.9 LD R Well Performance Specification,91.19 G Well Performance Specification,91.19 R Well Performance Specification,91.1 G Well Performance Specification,91.1 R Well Performance Specification,51.9 G Well Performance Specification,51.9 R Well Performance Specification,33.39 G Well Performance Result,33.39 R Well Performance Result,33.52 G Well Performance Result,33.52 R Well Performance Result,51.12 G Well Performance Result,51.12 R Well Performance Result,70.13 G Well Performance Result,70.13 R Well Performance Result,51.9 LD G Well Performance Result,51.9 LD R Well Performance Result,91.19 G Well Performance Result,91.19 R Well Performance Result,91.1 G Well Performance Result,91.1 R Well Performance Result,51.9 G Well Performance Result,51.9 R Well Performance Result,33.39 G Well Pass Rate,33.39 R Well Pass Rate,33.52 G Well Pass Rate,33.52 R Well Pass Rate,51.12 G Well Pass Rate,51.12 R Well Pass Rate,70.13 G Well Pass Rate,70.13 R Well Pass Rate,51.9 LD G Well Pass Rate,51.9 LD R Well Pass Rate,91.19 G Well Pass Rate,91.19 R Well Pass Rate,91.1 G Well Pass Rate,91.1 R Well Pass Rate,51.9 G Well Pass Rate,51.9 R Well Pass Rate,Sensor Performance Logical Operator,Sensor Performance Specification Value,33.39 G Sensor Performance Result,33.39 R Sensor Performance Result,33.52 G Sensor Performance Result,33.52 R Sensor Performance Result,51.12 G Sensor Performance Result,51.12 R Sensor Performance Result,70.13 G Sensor Performance Result,70.13 R Sensor Performance Result,51.9 LD G Sensor Performance Result,51.9 LD R Sensor Performance Result,91.19 G Sensor Performance Result,91.19 R Sensor Performance Result,91.1 G Sensor Performance Result,91.1 R Sensor Performance Result,51.9 G Sensor Performance Result,51.9 R Sensor Performance Result,33.39 G Sensor Pass Rate,33.39 R Sensor Pass Rate,33.52 G Sensor Pass Rate,33.52 R Sensor Pass Rate,51.12 G Sensor Pass Rate,51.12 R Sensor Pass Rate,70.13 G Sensor Pass Rate,70.13 R Sensor Pass Rate,51.9 LD G Sensor Pass Rate,51.9 LD R Sensor Pass Rate,91.19 G Sensor Pass Rate,91.19 R Sensor Pass Rate,91.1 G Sensor Pass Rate,91.1 R Sensor Pass Rate,51.9 G Sensor Pass Rate,51.9 R Sensor Pass Rate,Batch Performance Logical Operator,Batch Performance Specification Value,33.39 G Batch Performance Result,33.39 R Batch Performance Result,33.52 G Batch Performance Result,33.52 R Batch Performance Result,51.12 G Batch Performance Result,51.12 R Batch Performance Result,70.13 G Batch Performance Result,70.13 R Batch Performance Result,51.9 LD G Batch Performance Result,51.9 LD R Batch Performance Result,91.19 G Batch Performance Result,91.19 R Batch Performance Result,91.1 G Batch Performance Result,91.1 R Batch Performance Result,51.9 G Batch Performance Result,51.9 R Batch Performance Result,33.39 G Corrected Val,33.39 R Corrected Val,33.52 G Corrected Val,33.52 R Corrected Val,51.12 G Corrected Val,51.12 R Corrected Val,70.13 G Corrected Val,70.13 R Corrected Val,51.9 LD G Corrected Val,51.9 LD R Corrected Val,91.19 G Corrected Val,91.19 R Corrected Val,91.1 G Corrected Val,91.1 R Corrected Val,51.9 G Corrected Val,51.9 R Corrected Val,33.39 G Sensor CV,33.39 R Sensor CV,33.52 G Sensor CV,33.52 R Sensor CV,51.12 G Sensor CV,51.12 R Sensor CV,70.13 G Sensor CV,70.13 R Sensor CV,51.9 LD G Sensor CV,51.9 LD R Sensor CV,91.19 G Sensor CV,91.19 R Sensor CV,91.1 G Sensor CV,91.1 R Sensor CV,51.9 G Sensor CV,51.9 R Sensor CV,Sensor Uniformity CV Logical Operator,Sensor Uniformity CV Specification Value,33.39 G Sensor Uniformity Result,33.39 R Sensor Uniformity Result,33.52 G Sensor Uniformity Result,33.52 R Sensor Uniformity Result,51.12 G Sensor Uniformity Result,51.12 R Sensor Uniformity Result,70.13 G Sensor Uniformity Result,70.13 R Sensor Uniformity Result,51.9 LD G Sensor Uniformity Result,51.9 LD R Sensor Uniformity Result,91.19 G Sensor Uniformity Result,91.19 R Sensor Uniformity Result,91.1 G Sensor Uniformity Result,91.1 R Sensor Uniformity Result,51.9 G Sensor Uniformity Result,51.9 R Sensor Uniformity Result,33.39 G Batch Uniformity Pass Rate,33.39 R Batch Uniformity Pass Rate,33.52 G Batch Uniformity Pass Rate,33.52 R Batch Uniformity Pass Rate,51.12 G Batch Uniformity Pass Rate,51.12 R Batch Uniformity Pass Rate,70.13 G Batch Uniformity Pass Rate,70.13 R Batch Uniformity Pass Rate,51.9 LD G Batch Uniformity Pass Rate,51.9 LD R Batch Uniformity Pass Rate,91.19 G Batch Uniformity Pass Rate,91.19 R Batch Uniformity Pass Rate,91.1 G Batch Uniformity Pass Rate,91.1 R Batch Uniformity Pass Rate,51.9 G Batch Uniformity Pass Rate,51.9 R Batch Uniformity Pass Rate,Batch Uniformity Logical Operator,Batch Uniformity Specification Value,Batch Uniformity Result,Batch Disposition,51.9 G Diff Perc Sensor Mean,51.9 R Diff Perc Sensor Mean,51.9 LD G Diff Perc Sensor Mean,51.9 LD R Diff Perc Sensor Mean,33.39 G Diff Perc Sensor Mean,33.39 R Diff Perc Sensor Mean,51.9 G Diff Perc Center 4 mean,51.9 R Diff Perc Center 4 mean,51.9 LD G Diff Perc Center 4 mean,51.9 LD R Diff Perc Center 4 mean,33.39 G Diff Perc Center 4 mean,33.39 R Diff Perc Center 4 mean,Batch Center 4 Mean 51.9 G,Batch Center 4 Mean 51.9 R,Batch Center 4 Mean 51.9 LD G,Batch Center 4 Mean 51.9 LD R,Batch Center 4 Mean 33.39 G,Batch Center 4 Mean 33.39 R
20260210_20260203A_NH3_1,20260210,20260203A,20260203A,Stonehenge,20260203,A,NH3,1,Frame-1,incubation,well_spot,NH3_1,A1,-26.55883120271328,-24.12124299541518,-17.351101441392437,-17.47346621796531,-1.5255292652552928,-0.8481764206955046,-9.0,-9.672466734902764,,,-2.051702913418137,-0.8715862870424171,-1.4118596208148446,-0.3729202524383247,-0.7088009450679268,-0.3808487486398259,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,40.0%,40.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3278.338817696864,3384.9748676919285,3144.9130792255078,3330.656626055507,2747.2017433974243,3049.581280444817,3250.114142251,3369.4553700815227,,,2084.349517017286,2967.67282083434,2120.271831221113,3005.609370548666,2896.022759384707,3169.4262897696203,0.5131%,0.287%,0.4767%,0.282%,,,0.5401%,0.2691%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2349,-23.4678,,,,,-27.429,-24.0054,10.4988,7.297,11.2857,7.8109,-27.6956,-24.2786
20260210_20260203A_NH3_1,20260210,20260203A,20260203A,Stonehenge,20260203,A,NH3,1,Frame-1,incubation,well_spot,NH3_1,A2,-26.244461819129526,-23.822855688470348,-16.77069199457259,-16.830403309203724,-1.543793320730939,-0.6257110352673493,-8.612062154332367,-9.125865162778776,,,-1.8211250505868068,-0.8951775916835113,-1.36,-0.5400795906765207,-0.5306603773584906,-0.2444987775061124,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,40.0%,40.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3285.152867180665,3380.5223618984205,3155.013895116172,3328.037794813716,2717.5072192940925,3025.176030652799,3250.9057692689566,3356.4310852038025,,,2115.61447349581,2979.5746854808426,2140.4436194817995,3026.8968361309862,2904.1539029129053,3167.142482603229,0.5131%,0.287%,0.4767%,0.282%,,,0.5401%,0.2691%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2349,-23.4678,,,,,-27.429,-24.0054,10.4988,7.297,11.2857,7.8109,-27.6956,-24.2786
20260210_20260203A_NH3_1,20260210,20260203A,20260203A,Stonehenge,20260203,A,NH3,1,Frame-1,incubation,well_spot,NH3_1,A3,-25.999477397439247,-23.737888832228453,-16.69839543105793,-16.43265730629225,-1.4821822768842636,-0.7681365576102418,-8.616600790513834,-9.209851205746537,,,-1.5898899306971055,-1.0696733159872795,-1.08,-0.512236767216847,-0.5025125628140703,-0.4885993485342019,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,40.0%,40.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3285.081870346436,3385.9325617644904,3156.3224555170746,3320.3204060546227,2721.9740294926964,3034.562201581383,3257.613195182839,3365.2129336455846,,,2105.645630509487,2986.2164026372698,2145.9902471560204,3033.698883743095,2903.954002451527,3180.46291625201,0.5131%,0.287%,0.4767%,0.282%,,,0.5401%,0.2691%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2349,-23.4678,,,,,-27.429,-24.0054,10.4988,7.297,11.2857,7.8109,-27.6956,-24.2786
20260210_20260203A_NH3_1,20260210,20260203A,20260203A,Stonehenge,20260203,A,NH3,1,Frame-1,incubation,well_spot,NH3_1,A4,-26.29377940407737,-23.689567430025445,-16.807409425224733,-16.390471258415328,-1.6062992125984252,-1.0446075663466967,-8.658922914466736,-9.481216457960643,,,-1.3986013986013983,-0.4046242774566473,-1.0882708585247884,-0.3677510608203678,-0.4143237644273453,-0.24330900243309,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,40.0%,40.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3269.818985325435,3372.622705661769,3137.3511487531814,3314.266892942939,2713.4540717219697,3039.651303677859,3237.3429995851407,3358.0337524820616,,,2077.608456175152,2969.281058928682,2120.3400163597503,3033.6440876626853,2887.798837275129,3174.384577161039,0.5131%,0.287%,0.4767%,0.282%,,,0.5401%,0.2691%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2349,-23.4678,,,,,-27.429,-24.0054,10.4988,7.297,11.2857,7.8109,-27.6956,-24.2786
20260210_20260203A_NH3_1,20260210,20260203A,20260203A,Stonehenge,20260203,A,NH3,1,Frame-1,incubation,well_spot,NH3_1,A5,-26.432870976184248,-23.768410360589133,-16.803503010399563,-16.40826873385013,-1.5812776723592663,-0.8472182999152781,-8.564631245043616,-9.55170657157412,,,-1.2505210504376825,-0.635470826112074,-1.4705882352941175,-0.340522133938706,-0.3583159151985667,-0.2976190476190476,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,40.0%,40.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3260.498617824275,3379.488095393396,3117.9957994058886,3321.1322826745663,2698.167136760104,3038.7931299614056,3228.0728268069174,3369.1900107959555,,,2047.0913855431652,2970.9974063615887,2088.903589749758,3024.204176781698,2857.736160977099,3171.8100560116786,0.5131%,0.287%,0.4767%,0.282%,,,0.5401%,0.2691%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2349,-23.4678,,,,,-27.429,-24.0054,10.4988,7.297,11.2857,7.8109,-27.6956,-24.2786
20260210_20260203A_NH3_1,20260210,20260203A,20260203A,Stonehenge,20260203,A,NH3,1,Frame-1,incubation,well_spot,NH3_1,A6,-26.190476190476197,-23.01180092355054,-15.5281207133059,-15.147558109166884,-1.5777847901546227,-0.9090909090909092,-8.572186836518046,-8.684414577410184,,,-1.3658940397350994,-0.6964596633778294,-1.3205282112845138,-0.5104934770277936,-0.4478948939982084,-0.967221923696937,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,40.0%,40.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3286.751865249051,3369.603869101803,3134.53965170926,3309.957212619498,2725.2005915683526,3042.8439248943937,3240.3142407792843,3344.534984493298,,,2077.6537170177157,2978.8750469278634,2149.0300657397643,3048.030590675464,2879.9926731342416,3217.461672857083,0.5131%,0.287%,0.4767%,0.282%,,,0.5401%,0.2691%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2349,-23.4678,,,,,-27.429,-24.0054,10.4988,7.297,11.2857,7.8109,-27.6956,-24.2786
20260210_20260203A_NH3_1,20260210,20260203A,20260203A,Stonehenge,20260203,A,NH3,1,Frame-1,incubation,well_spot,NH3_1,A7,-25.831805082525545,-22.783188108662227,-15.53185671315286,-15.115976022934586,-1.4128728414442702,-1.0375771172181716,-8.617499339148823,-8.817480719794345,,,-1.2381345439537763,-0.6363899334683252,-1.2370311252992818,-0.3106467099689353,-0.2688172043010753,-1.12949829261886,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,40.0%,40.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3272.2581346303823,3358.163738264522,3135.092480571996,3302.223030169393,2730.453801099756,3068.9933087266245,3243.110433142975,3347.836222923884,,,2077.20237364669,2975.1850443824846,2148.357056689478,3047.4776517669598,2870.1913111717367,3276.4042418177955,0.5131%,0.287%,0.4767%,0.282%,,,0.5401%,0.2691%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2349,-23.4678,,,,,-27.429,-24.0054,10.4988,7.297,11.2857,7.8109,-27.6956,-24.2786
20260210_20260203A_NH3_1,20260210,20260203A,20260203A,Stonehenge,20260203,A,NH3,1,Frame-1,incubation,well_spot,NH3_1,A8,-25.980135912179826,-23.139653414882773,-15.710382513661203,-15.092375748113454,-1.5341264871634317,-0.7616361071932299,-8.842105263157894,-9.216236916007148,,,-1.219016659894352,-0.5777007510109763,-0.994431185361973,-0.423728813559322,-0.2977963073257891,-1.166489925768823,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,40.0%,40.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3291.0460626126687,3392.0794208197726,3148.2562961741683,3322.059432775328,2747.412734967293,3064.4550323155186,3268.681400399409,3386.0283107418577,,,2116.901296416565,2992.706155677384,2162.490800158978,3060.1328108312937,2888.4821427740044,3260.683887699333,0.5131%,0.287%,0.4767%,0.282%,,,0.5401%,0.2691%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2349,-23.4678,,,,,-27.429,-24.0054,10.4988,7.297,11.2857,7.8109,-27.6956,-24.2786
20260210_20260203A_NH3_1,20260210,20260203A,20260203A,Stonehenge,20260203,A,NH3,1,Frame-1,incubation,well_spot,NH3_1,A9,-25.657038771792877,-22.788682131022178,-15.520521880945909,-14.957153985977667,-1.5537600994406464,-0.8424599831508003,-8.47145488029466,-8.983875095981572,,,-1.371520774505849,-0.7758620689655172,-1.36986301369863,-0.2538071065989847,-0.5020673360897815,-0.243046178773967,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,40.0%,40.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3294.54755341487,3383.268885716183,3153.952758005024,3321.1747333400517,2758.744217249298,3071.0732862695204,3258.5415692245438,3369.4701851881537,,,2125.210352567125,3001.217364846372,2190.364038244859,3058.137004524493,2902.768154010604,3193.5367534557804,0.5131%,0.287%,0.4767%,0.282%,,,0.5401%,0.2691%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2349,-23.4678,,,,,-27.429,-24.0054,10.4988,7.297,11.2857,7.8109,-27.6956,-24.2786
20260210_20260203A_NH3_1,20260210,20260203A,20260203A,Stonehenge,20260203,A,NH3,1,Frame-1,incubation,well_spot,NH3_1,A10,-26.243523316062177,-23.218797372410307,-15.488762523693476,-14.870466321243525,-1.3647642679900744,-0.8150646430578976,-8.72412889703956,-9.34721869443739,,,-1.0462776659959758,-0.6607296753806378,-1.1345852895148671,-0.1128031584884377,-0.354295837023915,-0.2432432432432432,< -20%,< -20%,< -9.48%,< -9.86%,> 10%,> 5.46%,< -4.45%,< -7.50%,> 10%,> 5.49%,> 23.73%,> 7.78%,> 9.84%,> 3.34%,> 10%,> 5.46%,PASS,PASS,,,,,,,,,,,,,,,100.0%,100.0%,,,,,,,,,,,,,,,>,95%,PASS,PASS,,,,,,,,,,,,,,,40.0%,40.0%,,,,,,,,,,,,,,,>,80%,FAIL,FAIL,,,,,,,,,,,,,,,3287.849088626569,3401.0570840800806,3145.602767952829,3316.846979421201,2746.120585940948,3057.342371186692,3251.222790489019,3383.0120616531776,,,2116.6593226002656,2991.177288954714,2177.1353032459874,3047.03092979989,2884.959809113521,3179.361094263845,0.5131%,0.287%,0.4767%,0.282%,,,0.5401%,0.2691%,,,,,,,,,<,1%,PASS,PASS,PASS,PASS,,,PASS,PASS,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,>,80%,PASS,FAIL,,,,,-26.2349,-23.4678,,,,,-27.429,-24.0054,10.4988,7.297,11.2857,7.8109,-27.6956,-24.2786
